"","occupation","lessthanhs","hsdiploma","somecollege","associates","bachelors","masters","professional","hsorless","somecollegeorassociates","postgrad","TOT_EMP","A_MEDIAN","natlwage","typicaled","workexp","probability","total"
"1","Accountants and Auditors",0,4,7.6,9.2,55.6,20.8,2.8,4,16.8,23.6,1241000,69350,96698720000,"Bachelor's degree","None",0.94,1246530
"2","Actuaries",0,0,1.2,1.5,62.1,24.9,10.3,0,2.7,35.2,19210,101560,2206268500,"Bachelor's degree","None",0.21,19550
"3","Adhesive Bonding Machine Operators and Tenders",21.6,49.2,21.5,2.2,4.9,0.5,0,70.8,23.7,0.5,15860,32710,549231800,"High school diploma or equivalent","None",0.95,16190
"4","Administrative Services Managers",2.1,17.9,26.1,12.1,29.7,10.3,1.7,20,38.2,12,270100,94020,27922938000,"Bachelor's degree","Less than 5 years",0.73,266270
"5","Adult Basic and Secondary Education and Literacy Teachers and Instructors",1.8,10.2,18.4,8.5,35.9,20.5,4.7,12,26.9,25.2,60670,52100,3446056000,"Bachelor's degree","None",0.19,55900
"6","Advertising and Promotions Managers",0.7,5,11.1,4.4,62.7,13.3,2.8,5.7,15.5,16.1,28100,106130,3481028000,"Bachelor's degree","Less than 5 years",0.039,28080
"7","Advertising Sales Agents",1.6,10.3,19.3,8.1,50.8,8.7,1.2,11.9,27.4,9.9,136520,49680,8330450400,"High school diploma or equivalent","None",0.54,141120
"8","Aerospace Engineering and Operations Technicians",3.5,22.4,31,22.6,17.1,2.9,0.6,25.9,53.6,3.5,11710,67240,835391400,"Associate's degree","None",0.48,8470
"9","Aerospace Engineers",0.7,1.8,6.7,4.6,49.1,31.9,5.3,2.5,11.3,37.2,65760,113030,7582128000,"Bachelor's degree","None",0.017,58500
"10","Agricultural and Food Science Technicians",8.3,22.3,25,13.7,24.8,4.1,1.8,30.6,38.7,5.9,21120,39910,906259200,"Associate's degree","None",0.97,20190
"11","Agricultural Engineers",0,2.6,3.6,16.3,43.7,25.8,8.1,2.6,19.9,33.9,1770,74780,138006900,"Bachelor's degree","None",0.49,1410
"12","Agricultural Inspectors",9.4,18.3,20.2,13.6,32.1,4.6,1.8,27.7,33.8,6.4,13960,43390,627222800,"Bachelor's degree","None",0.94,13710
"13","Air Traffic Controllers",0.6,9.5,32.6,14.7,34.5,6.9,1.1,10.1,47.3,8,22790,124540,2740725400,"Associate's degree","None",0.11,20330
"14","Aircraft Cargo Handling Supervisors",8.1,34.8,28.2,9.9,16.1,2.6,0.4,42.9,38.1,3,8270,48150,438061900,"High school diploma or equivalent","Less than 5 years",0.066,6710
"15","Aircraft Mechanics and Service Technicians",2.3,23.9,39.6,22.2,10.5,1.3,0.2,26.2,61.8,1.5,131500,61020,8224010000,"Postsecondary nondegree award","None",0.71,128550
"16","Airfield Operations Specialists",0.6,9.5,32.6,14.7,34.5,6.9,1.1,10.1,47.3,8,9590,52360,537615400,"High school diploma or equivalent","None",0.71,7160
"17","Amusement and Recreation Attendants",8.9,28.8,28.2,8.4,20,5,0.8,37.7,36.6,5.8,310970,21060,7077677200,"No formal educational credential","None",0.72,286730
"18","Animal Breeders",55.6,25.7,9.4,3.3,5.1,0.8,0.2,81.3,12.7,1,1800,37560,78210000,"High school diploma or equivalent","None",0.95,530
"19","Animal Control Workers",1.9,28.7,43.3,10,13.4,2.5,0.2,30.6,53.3,2.7,12700,35520,477266000,"High school diploma or equivalent","None",0.21,12860
"20","Animal Scientists",0,0,0,0,53.5,30,16.5,0,0,46.5,2550,60760,175542000,"Bachelor's degree","None",0.061,2090
"21","Animal Trainers",6.2,24.4,30.7,8.8,24.7,4.1,1.1,30.6,39.5,5.2,14340,28880,498458400,"High school diploma or equivalent","None",0.1,13240
"22","Anthropologists and Archeologists",0,3,5.5,2.4,35.6,38.7,14.9,3,7.9,53.6,6120,62280,405939600,"Master's degree","None",0.0077,5860
"23","Appraisers and Assessors of Real Estate",0.7,11.2,24.8,9.6,42.8,9,2,11.9,34.4,11,58880,54010,3581670400,"Bachelor's degree","None",0.9,60500
"24","Architectural and Civil Drafters",0.8,11.1,28,32.8,22.8,3.9,0.6,11.9,60.8,4.5,95960,52870,5288355600,"Associate's degree","None",0.52,96780
"25","Architectural and Engineering Managers",0.8,3.5,6.9,4.2,45.1,33.8,5.8,4.3,11.1,39.6,179990,137720,26330737100,"Bachelor's degree","5 years or more",0.017,177540
"26","Archivists",0.6,5.5,8.5,3.7,30.8,42.7,8.3,6.1,12.2,51,6080,51760,337257600,"Master's degree","None",0.76,5400
"27","Art Directors",2.5,11.3,18.7,8.4,46.4,11.3,1.4,13.8,27.1,12.7,38110,92500,3944766100,"Bachelor's degree","5 years or more",0.023,36120
"28","Astronomers",0,0,0,0,18.1,27.7,54.1,0,0,81.8,2020,100590,221311200,"Doctoral or professional degree","None",0.041,770
"29","Athletes and Sports Competitors",1.5,10.5,18.6,7,41.2,19.1,2.1,12,25.6,21.2,11150,51370,984545000,"No formal educational credential","None",0.28,8470
"30","Athletic Trainers",1.9,11.4,14.2,7.8,36.8,25,2.8,13.3,22,27.8,25010,46630,1216236300,"Bachelor's degree","None",0.0071,23960
"31","Atmospheric and Space Scientists",0,1.9,4.4,2.7,45,27.5,18.5,1.9,7.1,46,8940,92070,837767400,"Bachelor's degree","None",0.67,8960
"32","Audio and Video Equipment Technicians",1.3,17.9,29.4,16.7,30.4,3.7,0.5,19.2,46.1,4.2,72740,42190,3457332200,"Postsecondary nondegree award","None",0.55,69640
"33","Audio-Visual and Multimedia Collections Specialists",0.4,5,7.2,4.7,30.3,42.9,9.5,5.4,11.9,52.4,10430,48590,534954700,"Bachelor's degree","Less than 5 years",0.39,9960
"34","Audiologists",0,0.9,3.1,2.3,7.9,22.5,63.5,0.9,5.4,86,12020,75920,962080800,"Doctoral or professional degree","None",0.0033,11830
"35","Automotive and Watercraft Service Attendants",18.9,43.8,24.7,4.5,6.3,1.4,0.4,62.7,29.2,1.8,118850,23390,2983135000,"No formal educational credential","None",0.83,109310
"36","Automotive Body and Related Repairers",22.6,49.5,17.6,7.5,2.7,0.1,0.1,72.1,25.1,0.2,144320,41970,6585321600,"High school diploma or equivalent","None",0.91,143860
"37","Automotive Glass Installers and Repairers",14.2,55.4,24.5,3.3,1.2,1.5,0,69.6,27.8,1.5,20190,34170,723407700,"High school diploma or equivalent","None",0.55,15160
"38","Automotive Service Technicians and Mechanics",17.3,44.7,22.2,11.6,3.6,0.4,0.2,62,33.8,0.6,639700,39550,27289602000,"Postsecondary nondegree award","None",0.59,647350
"39","Avionics Technicians",1.6,16.5,34.5,31.2,13.7,1.4,1.1,18.1,65.7,2.5,18620,62650,1185163000,"Associate's degree","None",0.7,16140
"40","Baggage Porters and Bellhops",10.6,30.9,27.5,11.6,16.7,1.9,0.9,41.5,39.1,2.8,42620,23230,1112382000,"High school diploma or equivalent","None",0.83,44410
"41","Bailiffs",1.5,30.1,36.1,14.6,15.3,2,0.3,31.6,50.7,2.3,18480,42960,853591200,"High school diploma or equivalent","None",0.36,16510
"42","Bakers",21.3,39.2,20.8,8.4,9,0.8,0.4,60.5,29.2,1.2,182890,25690,5106288800,"No formal educational credential","None",0.89,180450
"43","Barbers",11.3,47.2,28.7,8.1,4.3,0.4,0,58.5,36.8,0.4,18810,25650,573328800,"Postsecondary nondegree award","None",0.8,10050
"44","Bartenders",5.9,27.6,35.2,10.3,18.7,2,0.4,33.5,45.5,2.4,613350,21690,16106571000,"No formal educational credential","None",0.77,603330
"45","Bicycle Repairers",24.9,43,20.3,5.4,5.4,0.8,0.1,67.9,25.7,0.9,12720,28390,373586400,"High school diploma or equivalent","None",0.94,10370
"46","Bill and Account Collectors",4.2,29.9,33.5,13.4,16,2.6,0.5,34.1,46.9,3.1,271700,35330,10229505000,"High school diploma or equivalent","None",0.95,298960
"47","Billing and Posting Clerks",2.7,29.1,33.7,15.1,15.7,3,0.5,31.8,48.8,3.5,476010,36860,18307344600,"High school diploma or equivalent","None",0.96,485200
"48","Biochemists and Biophysicists",0,0,0,0,47.5,31.4,21,0,0,52.4,27380,91190,2886125800,"Doctoral or professional degree","None",0.027,22840
"49","Biological Technicians",5.7,14.1,18.9,16.4,31.1,8.7,5.1,19.8,35.3,13.8,74980,43800,3554801800,"Bachelor's degree","None",0.3,74250
"50","Biomedical Engineers",0,2.6,3.6,16.3,43.7,25.8,8.1,2.6,19.9,33.9,20100,88040,1868697000,"Bachelor's degree","None",0.037,20360
"51","Boilermakers",15.5,46.7,23.1,12.7,2,0,0,62.2,35.8,0,15020,62260,946410200,"High school diploma or equivalent","None",0.68,15100
"52","Brickmasons and Blockmasons",35.6,43.4,14.6,3.1,2.5,0.6,0.3,79,17.7,0.9,64790,49770,3459138100,"High school diploma or equivalent","None",0.82,64170
"53","Bridge and Lock Tenders",5.3,38.8,34.4,9.9,8,3.3,0.4,44.1,44.3,3.7,3240,50240,153187200,"High school diploma or equivalent","None",0.97,2930
"54","Broadcast News Analysts",0.7,2.3,8.5,3.9,61.4,20.8,2.4,3,12.4,23.2,5700,62910,503025000,"Bachelor's degree","None",0.067,4460
"55","Broadcast Technicians",1.3,17.9,29.4,16.7,30.4,3.7,0.5,19.2,46.1,4.2,30390,39060,1420124700,"Associate's degree","None",0.74,30310
"56","Brokerage Clerks",2.3,17.8,28.1,7,35.3,7.5,2.1,20.1,35.1,9.6,58930,49800,3114450500,"High school diploma or equivalent","None",0.98,59540
"57","Budget Analysts",0.4,6.4,13,7,42.6,26.4,4.2,6.8,20,30.6,54550,75240,4291994000,"Bachelor's degree","None",0.94,52450
"58","Bus and Truck Mechanics and Diesel Engine Specialists",13.1,46,24.2,12.9,2.9,0.6,0.2,59.1,37.1,0.8,260380,46360,12498240000,"High school diploma or equivalent","None",0.73,254270
"59","Butchers and Meat Cutters",34,39.7,17.7,4.4,3.5,0.5,0.1,73.7,22.1,0.6,131530,30890,4283932100,"No formal educational credential","None",0.93,133930
"60","Cabinetmakers and Bench Carpenters",19.3,46.5,18,7.3,7.3,1.5,0,65.8,25.3,1.5,97820,33920,3496086800,"High school diploma or equivalent","None",0.92,97980
"61","Camera and Photographic Equipment Repairers",3.9,23.3,28.7,20.7,18.6,3.9,0.9,27.2,49.4,4.8,3650,40770,155161500,"High school diploma or equivalent","None",0.97,2120
"62","Cardiovascular Technologists and Technicians",1.3,6.1,17.1,43.2,26.7,4,1.6,7.4,60.3,5.6,56130,55270,3213442500,"Associate's degree","None",0.23,53480
"63","Cargo and Freight Agents",5.3,25.2,37.3,11,17.8,3.2,0.2,30.5,48.3,3.4,89920,41820,4044601600,"High school diploma or equivalent","None",0.99,88910
"64","Carpenters",25.9,42.6,19.6,5.3,5.6,0.8,0.2,68.5,24.9,1,693050,45170,34396071500,"High school diploma or equivalent","None",0.72,676950
"65","Carpet Installers",36.6,41.5,14.5,4,2.9,0.4,0,78.1,18.5,0.4,26120,38830,1154504000,"No formal educational credential","None",0.87,24540
"66","Cartographers and Photogrammetrists",0.9,4.3,8.9,6.3,65.8,11,2.8,5.2,15.2,13.8,11440,63990,770941600,"Bachelor's degree","None",0.88,11940
"67","Cashiers",14.9,40.9,25.4,7.5,9.3,1.7,0.3,55.8,32.9,2,3564920,21030,78891679600,"No formal educational credential","None",0.97,3540980
"68","Cashiers",14.9,40.9,25.4,7.5,9.3,1.7,0.3,55.8,32.9,2,3588960,21050,79531353600,"No formal educational credential","None",0.97,3540980
"69","Cement Masons and Concrete Finishers",38.9,40.9,15.1,1.3,3.2,0.5,0.2,79.8,16.4,0.7,178640,40650,8126333600,"No formal educational credential","None",0.94,173910
"70","Chefs and Head Cooks",15.9,29.7,23.4,16.8,12.3,1.5,0.4,45.6,40.2,1.9,131430,45950,6525499500,"High school diploma or equivalent","5 years or more",0.1,134150
"71","Chemical Engineers",0.1,2.4,3.5,3.5,56.6,25.2,8.7,2.5,7,33.9,33500,102160,3766405000,"Bachelor's degree","None",0.017,31760
"72","Chemical Equipment Operators and Tenders",6.7,31.9,27.2,7.8,21.3,4.3,0.8,38.6,35,5.1,77870,47800,3947230300,"High school diploma or equivalent","None",0.76,73840
"73","Chemical Plant and System Operators",6.1,40.3,30.4,13.3,9,0.9,0.1,46.4,43.7,1,30290,62170,1866469800,"High school diploma or equivalent","None",0.85,30760
"74","Chemical Technicians",2.9,22.1,25.8,14.7,25.6,5.2,3.7,25,40.5,8.9,64550,47280,3292695500,"Associate's degree","None",0.57,65500
"75","Chemists",0.5,2,2.7,1.2,53,21.7,18.8,2.5,3.9,40.5,84400,74740,6909828000,"Bachelor's degree","None",0.1,84580
"76","Chief Executives",1.5,9,14.7,5.4,39.8,22.3,7.4,10.5,20.1,29.7,210160,183270,41201868000,"Bachelor's degree","5 years or more",0.015,223270
"77","Childcare Workers",12.8,31.5,26.2,10.7,15.5,2.9,0.4,44.3,36.9,3.3,562420,22290,13363099200,"High school diploma or equivalent","None",0.084,569380
"78","Chiropractors",0.4,0.4,0.2,0.7,5,2.5,90.7,0.8,0.9,93.2,33630,68640,2803060500,"Doctoral or professional degree","None",0.027,32950
"79","Choreographers",8.7,25.4,23.4,7.7,28.1,5.5,1.2,34.1,31.1,6.7,5310,48420,281270700,"High school diploma or equivalent","5 years or more",0.004,4110
"80","Civil Engineering Technicians",3.5,22.4,31,22.6,17.1,2.9,0.6,25.9,53.6,3.5,71430,51620,3828648000,"Associate's degree","None",0.75,72160
"81","Civil Engineers",0.5,3.3,5.7,5.1,55.2,26.1,4,3.8,10.8,30.1,298910,84770,27436948900,"Bachelor's degree","None",0.019,287800
"82","Cleaners of Vehicles and Equipment",30.2,43.7,16.9,4.5,3.8,0.6,0.3,73.9,21.4,0.9,373290,23360,9619683300,"No formal educational credential","None",0.37,348790
"83","Clergy",2.7,6.6,11.3,4.3,25.3,35.1,14.7,9.3,15.6,49.8,49850,47100,2532380000,"Bachelor's degree","None",0.0081,49100
"84","Coaches and Scouts",1.5,10.5,18.6,7,41.2,19.1,2.1,12,25.6,21.2,235400,32270,10013916000,"Bachelor's degree","None",0.013,229250
"85","Commercial and Industrial Designers",2.3,9.5,16.7,12.5,48.2,9.3,1.5,11.8,29.2,10.8,31250,65970,2204375000,"Bachelor's degree","None",0.037,31500
"86","Commercial Divers",13,39.9,26.6,10.3,8.2,1.7,0.2,52.9,36.9,1.9,3280,47210,181285600,"Postsecondary nondegree award","None",0.18,2540
"87","Commercial Pilots",0.3,4.9,12.9,8,59.5,12.5,1.9,5.2,20.9,14.4,38490,78740,3439081500,"High school diploma or equivalent","None",0.55,38100
"88","Compensation and Benefits Managers",0.2,7.4,13.7,8.4,47.2,22.8,0.4,7.6,22.1,23.2,15520,119120,2017755200,"Bachelor's degree","5 years or more",0.96,15100
"89","Compliance Officers",1.1,7.9,18.1,8.4,40.4,17.1,7,9,26.5,24.1,287130,67870,20541280200,"Bachelor's degree","None",0.08,266710
"90","Computer and Information Research Scientists",0.4,4.9,2.5,0.3,34.8,33,24,5.3,2.8,57,27920,114520,3338394400,"Master's degree","None",0.015,24750
"91","Computer and Information Systems Managers",0.4,4,14,7.7,46.1,25.2,2.6,4.4,21.7,27.8,365690,139220,54754763700,"Bachelor's degree","5 years or more",0.035,352540
"92","Computer Hardware Engineers",0.2,4.9,11.5,7.4,47.4,24,4.7,5.1,18.9,28.7,66770,115120,7989030500,"Bachelor's degree","None",0.22,67110
"93","Computer Operators",2.6,22.6,29.6,12.7,25.3,6.4,0.9,25.2,42.3,7.3,40400,44270,1830928000,"High school diploma or equivalent","None",0.78,46600
"94","Computer Programmers",0.6,4.6,12.9,8.7,50.9,19.7,2.8,5.2,21.6,22.5,247690,82240,21680305700,"Bachelor's degree","None",0.48,271230
"95","Computer Systems Analysts",0.5,4.6,13.4,7.8,47.4,23.4,2.9,5.1,21.2,26.3,581960,88270,53970970400,"Bachelor's degree","None",0.0065,568930
"96","Concierges",10.6,30.9,27.5,11.6,16.7,1.9,0.9,41.5,39.1,2.8,35750,30150,1169025000,"High school diploma or equivalent","None",0.21,31650
"97","Conservation Scientists",0,0,0,0,76.5,18.8,4.7,0,0,23.5,22040,61480,1429294000,"Bachelor's degree","None",0.016,20470
"98","Construction and Building Inspectors",1.6,24.4,31.3,14.6,21.6,5.8,0.9,26,45.9,6.7,98810,59090,6128196200,"High school diploma or equivalent","5 years or more",0.63,94980
"99","Construction Laborers",34.5,39.6,16.1,4.1,4.8,0.7,0.2,74.1,20.2,0.9,962060,34530,37414513400,"No formal educational credential","None",0.88,912090
"100","Construction Managers",6.9,25.3,24.5,8.4,28.2,5.8,0.8,32.2,32.9,6.6,263480,91370,26611480000,"Bachelor's degree","None",0.071,249690
"101","Continuous Mining Machine Operators",14.8,51.9,24.1,4.4,4.1,0.7,0,66.7,28.5,0.7,12000,54620,660480000,"No formal educational credential","None",0.54,9870
"102","Conveyor Operators and Tenders",16.8,59.1,12.3,6.9,4.6,0.4,0,75.9,19.2,0.4,26570,32300,916133600,"No formal educational credential","None",0.93,27590
"103","Cooling and Freezing Equipment Operators and Tenders",19.4,46.4,20.7,6.6,5.7,0.9,0.2,65.8,27.3,1.1,8630,30860,289881700,"High school diploma or equivalent","None",0.93,7610
"104","Correctional Officers and Jailers",1.5,30.1,36.1,14.6,15.3,2,0.3,31.6,50.7,2.3,428870,43540,20414212000,"High school diploma or equivalent","None",0.6,414520
"105","Correspondence Clerks",9.7,32.6,27,10.1,17.6,2.5,0.6,42.3,37.1,3.1,6370,36620,242697000,"High school diploma or equivalent","None",0.86,6530
"106","Cost Estimators",2.7,23.1,27.7,11.6,29.9,4.4,0.6,25.8,39.3,5,210900,63110,14429778000,"Bachelor's degree","None",0.57,214590
"107","Costume Attendants",8.9,28.8,28.2,8.4,20,5,0.8,37.7,36.6,5.8,6430,42620,306711000,"High school diploma or equivalent","None",0.61,5520
"108","Counter and Rental Clerks",11.7,38.5,23.6,8,15.3,2.4,0.4,50.2,31.6,2.8,445530,25820,13250062200,"No formal educational credential","None",0.97,450320
"109","Couriers and Messengers",8.4,36.1,30.7,8.8,13.8,1.9,0.3,44.5,39.5,2.2,76710,28250,2301300000,"High school diploma or equivalent","None",0.94,73810
"110","Court Reporters",1.6,16.9,25.9,13.5,29.5,7.8,4.8,18.5,39.4,12.6,15220,55120,914113200,"Postsecondary nondegree award","None",0.5,15350
"111","Craft Artists",2.5,11.3,18.7,8.4,46.4,11.3,1.4,13.8,27.1,12.7,4730,34940,194781400,"No formal educational credential","None",0.035,3920
"112","Crane and Tower Operators",16.6,50.2,23.6,5.6,3.6,0.3,0,66.8,29.2,0.3,43660,52200,2431425400,"High school diploma or equivalent","Less than 5 years",0.9,44920
"113","Credit Analysts",0.4,8.6,21.1,7.9,45.1,15.9,0.9,9,29,16.8,74850,71290,6205065000,"Bachelor's degree","None",0.98,67750
"114","Credit Counselors",1.1,14.3,24.4,9.7,40.1,9,1.3,15.4,34.1,10.3,35900,44710,1775614000,"Bachelor's degree","None",0.04,27140
"115","Crossing Guards",15.3,44.7,23.8,8,6.2,1.5,0.4,60,31.8,1.9,76440,27630,2306194800,"No formal educational credential","None",0.49,72460
"116","Curators",0.6,5.5,8.5,3.7,30.8,42.7,8.3,6.1,12.2,51,11550,53770,679486500,"Master's degree","None",0.0068,11160
"117","Customer Service Representatives",4,26.4,31.5,11.7,21.8,4,0.6,30.4,43.2,4.6,2767790,32890,98671713500,"High school diploma or equivalent","None",0.55,2707030
"118","Data Entry Keyers",2.7,26.2,32.9,13.6,20.3,3.9,0.4,28.9,46.5,4.3,180100,30930,5858653000,"High school diploma or equivalent","None",0.99,193890
"119","Database Administrators",0.7,5.7,12.5,8.8,45.1,24.2,3,6.4,21.3,27.2,113690,87020,10124094500,"Bachelor's degree","None",0.03,113730
"120","Demonstrators and Product Promoters",7.6,31.1,29.9,8.2,17.7,4.4,1,38.7,38.1,5.4,84780,27060,2698547400,"No formal educational credential","None",0.51,85020
"121","Dental Assistants",3.2,25.3,39.7,21.3,8.4,0.7,1.5,28.5,61,2.2,337160,37630,13044720400,"Postsecondary nondegree award","None",0.51,327270
"122","Dental Hygienists",0.4,2.2,8.1,51.5,32.8,2.4,2.5,2.6,59.6,4.9,211600,74070,15802288000,"Associate's degree","None",0.68,204990
"123","Dental Laboratory Technicians",6.2,29.5,31.7,17.7,12.3,1.5,1,35.7,49.4,2.5,35630,38670,1496103700,"High school diploma or equivalent","None",0.97,36860
"124","Desktop Publishers",2.1,18.5,28.4,13.1,28.5,8.2,1.2,20.6,41.5,9.4,12000,42350,542040000,"Associate's degree","None",0.16,12820
"125","Detectives and Criminal Investigators",0.8,7.1,25.3,11.5,40.9,12.3,2.2,7.9,36.8,14.5,105350,79970,8777762000,"High school diploma or equivalent","Less than 5 years",0.34,105000
"126","Diagnostic Medical Sonographers",1.3,6.1,17.1,43.2,26.7,4,1.6,7.4,60.3,5.6,68750,71410,5032500000,"Associate's degree","None",0.35,65790
"127","Dietetic Technicians",1.8,20.1,34.7,21.6,18.2,2.5,1.1,21.9,56.3,3.6,33370,26500,988085700,"Associate's degree","None",0.13,32190
"128","Dietitians and Nutritionists",2.5,12.2,9.9,4,37.5,27.3,6.6,14.7,13.9,33.9,62980,59410,3788247000,"Bachelor's degree","None",0.0039,61430
"129","Dining Room and Cafeteria Attendants and Bartender Helpers",25.6,41.3,19.7,5.4,6.9,0.8,0.2,66.9,25.1,1,436730,21160,10066626500,"No formal educational credential","None",0.91,423070
"130","Dishwashers",42.7,38,11.8,3,3.5,0.8,0.3,80.7,14.8,1.1,503540,21500,11183623400,"No formal educational credential","None",0.77,506490
"131","Dredge Operators",20,51,20.4,4.2,4,0.4,0,71,24.6,0.4,1410,43230,65339400,"High school diploma or equivalent","None",0.92,1050
"132","Driver/Sales Workers",16.3,47.6,23.5,6.1,5.4,0.9,0.3,63.9,29.6,1.2,426870,24040,12417648300,"High school diploma or equivalent","None",0.98,426300
"133","Drywall and Ceiling Tile Installers",44.8,39.9,11.1,2.1,1.9,0.3,0,84.7,13.2,0.3,96550,42860,4755087500,"No formal educational credential","None",0.79,91890
"134","Economists",0,0,0,0,23.2,44.8,32,0,0,76.8,19550,102490,2202307500,"Master's degree","None",0.43,17840
"135","Editors",0.6,3.3,10,3.5,55.9,21.2,5.6,3.9,13.5,26.8,96890,58770,6610804700,"Bachelor's degree","Less than 5 years",0.055,97150
"136","Electrical and Electronics Drafters",0.8,11.1,28,32.8,22.8,3.9,0.6,11.9,60.8,4.5,26060,59690,1660543200,"Associate's degree","None",0.81,26750
"137","Electrical and Electronics Engineering Technicians",3.5,22.4,31,22.6,17.1,2.9,0.6,25.9,53.6,3.5,128320,63660,8249692800,"Associate's degree","None",0.84,130530
"138","Electrical Engineers",0.7,3.2,8.5,8.1,49.3,24.1,6.1,3.9,16.6,30.2,183370,95060,18259984600,"Bachelor's degree","None",0.1,183780
"139","Electrical Power-Line Installers and Repairers",5.7,39.4,32.2,15.7,6,0.9,0.1,45.1,47.9,1,116650,69380,8015021500,"High school diploma or equivalent","None",0.097,116910
"140","Electricians",7.7,37.3,32.1,15.2,6.7,0.9,0.2,45,47.3,1.1,631080,54110,36545842800,"High school diploma or equivalent","None",0.15,607110
"141","Electro-Mechanical Technicians",3.5,22.4,31,22.6,17.1,2.9,0.6,25.9,53.6,3.5,13050,56740,776344500,"Associate's degree","None",0.81,12730
"142","Electronic Home Entertainment Equipment Installers and Repairers",8.3,33.8,31.9,12.4,11.7,1.4,0.6,42.1,44.3,2,25810,37190,1006073800,"Postsecondary nondegree award","None",0.65,25010
"143","Elevator Installers and Repairers",3.8,48.2,31.4,10.9,4.8,0.6,0.3,52,42.3,0.9,24490,79480,1888913700,"High school diploma or equivalent","None",0.39,21020
"144","Embalmers",3.5,31.5,22.8,17.1,20.1,4.5,0.6,35,39.9,5.1,4200,42780,189168000,"Associate's degree","None",0.54,3070
"145","Emergency Management Directors",0,3.6,22.3,10.8,40,22.4,0.9,3.6,33.1,23.3,9560,72760,775698400,"Bachelor's degree","5 years or more",0.003,9540
"146","Emergency Medical Technicians and Paramedics",0.8,12.2,44.4,22.2,17.4,2.5,0.5,13,66.6,3,251860,33380,9243262000,"Postsecondary nondegree award","None",0.049,241120
"147","Engine and Other Machine Assemblers",12.8,48.1,23.4,6.9,8.9,0,0,60.9,30.3,0,37770,43390,1681520400,"High school diploma or equivalent","None",0.82,32460
"148","Environmental Engineering Technicians",3.5,22.4,31,22.6,17.1,2.9,0.6,25.9,53.6,3.5,17590,50230,942999900,"Associate's degree","None",0.25,16500
"149","Environmental Engineers",0.2,4.5,4.6,3.5,47.2,34.4,5.5,4.7,8.1,39.9,52640,86800,4799715200,"Bachelor's degree","None",0.018,52300
"150","Epidemiologists",0.3,0.6,0.3,0.6,21.7,23.1,53.5,0.9,0.9,76.6,6870,69660,523700100,"Master's degree","None",0.2,5080
"151","Etchers and Engravers",12.8,36.3,25.3,8.7,13.6,2.2,1.2,49.1,34,3.4,8620,30890,291873200,"High school diploma or equivalent","None",0.98,9060
"152","Excavating and Loading Machine and Dragline Operators",20,51,20.4,4.2,4,0.4,0,71,24.6,0.4,45450,42500,2126151000,"High school diploma or equivalent","Less than 5 years",0.94,48320
"153","Executive Secretaries and Executive Administrative Assistants",2.3,27.4,32.3,14.7,19.3,3.5,0.6,29.7,47,4.1,596080,57410,35407152000,"High school diploma or equivalent","Less than 5 years",0.86,631580
"154","Fabric and Apparel Patternmakers",28.8,35,18.2,5.8,11.4,0.8,0,63.8,24,0.8,4810,40460,239008900,"High school diploma or equivalent","None",0.0049,4030
"155","Fallers",31.6,48,11.9,3.7,3.3,1.5,0,79.6,15.6,1.5,5420,40690,254360600,"High school diploma or equivalent","None",0.76,3810
"156","Farm and Home Management Advisors",0.4,5,7.2,4.7,30.3,42.9,9.5,5.4,11.9,52.4,8450,49510,441259000,"Master's degree","None",0.0075,7250
"157","Farm Equipment Mechanics and Service Technicians",13.1,44.7,25.4,12,3.7,0.6,0.3,57.8,37.4,0.9,34410,39340,1406680800,"High school diploma or equivalent","None",0.75,34980
"158","Farm Labor Contractors",1.6,9.8,18.5,8.5,43.5,16,2.1,11.4,27,18.1,780,35660,38134200,"No formal educational credential","Less than 5 years",0.97,350
"159","Fashion Designers",2.3,9.5,16.7,12.5,48.2,9.3,1.5,11.8,29.2,10.8,18940,67420,1493797800,"Bachelor's degree","None",0.021,18710
"160","Fence Erectors",45,33.1,15.7,2.9,2.5,0.5,0.4,78.1,18.6,0.9,21430,33320,777051800,"No formal educational credential","None",0.92,20030
"161","Fiberglass Laminators and Fabricators",17.5,46.8,22.5,6.5,5.7,0.8,0.2,64.3,29,1,20040,32290,700598400,"High school diploma or equivalent","None",0.93,18310
"162","File Clerks",3.8,29.7,30.8,12.7,18.2,4,0.8,33.5,43.5,4.8,118840,30120,3826648000,"High school diploma or equivalent","None",0.97,130710
