Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2011,To: 31 Dec 2011,Alabama,CY 2011,86,Afghanistan,5,Mobile,5,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alabama,CY 2011,86,Burma,3,Auburn,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alabama,CY 2011,86,Burma,3,Birmingham,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alabama,CY 2011,86,Burma,3,Mobile,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alabama,CY 2011,86,Ethiopia,1,Mobile,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alabama,CY 2011,86,Iran,15,Mobile,15,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alabama,CY 2011,86,Iraq,17,Mobile,16,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alabama,CY 2011,86,Iraq,17,Vestavia Hills,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alabama,CY 2011,86,Somalia,45,Albertville,5,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alabama,CY 2011,86,Somalia,45,Mobile,40,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alaska,CY 2011,102,Bhutan,17,Anchorage,17,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alaska,CY 2011,102,Burma,26,Anchorage,23,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alaska,CY 2011,102,Burma,26,Kodiak,3,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alaska,CY 2011,102,Iran,3,Juneau,3,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alaska,CY 2011,102,Somalia,45,Anchorage,45,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alaska,CY 2011,102,Sudan,5,Anchorage,5,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alaska,CY 2011,102,Ukraine,6,Eagle River,2,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Alaska,CY 2011,102,Ukraine,6,Wasilla,4,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Afghanistan,16,Phoenix,10,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Afghanistan,16,Tucson,6,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Bhutan,441,Phoenix,205,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Bhutan,441,Tucson,236,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Burma,429,Glendale,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Burma,429,Phoenix,392,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Burma,429,Tempe,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Burma,429,Tucson,35,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Burundi,15,Phoenix,13,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Burundi,15,Tucson,2,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Central African Republic,17,Phoenix,15,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Central African Republic,17,Tucson,2,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",China,3,Phoenix,3,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Congo,2,Tucson,2,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Cuba,67,Glendale,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Cuba,67,Phoenix,50,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Cuba,67,Tucson,16,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Dem. Rep. Congo,141,Glendale,2,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Dem. Rep. Congo,141,Phoenix,99,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Dem. Rep. Congo,141,Tucson,40,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Eritrea,118,Phoenix,60,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Eritrea,118,Scottsdale,5,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Eritrea,118,Tucson,53,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Ethiopia,19,Phoenix,18,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Ethiopia,19,Tucson,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Gabon,1,Tucson,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Honduras,3,Phoenix,3,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",India,1,Tucson,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Iran,54,Goodyear,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Iran,54,Mesa,2,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Iran,54,Paradise Valley,1,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Iran,54,Phoenix,37,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Iran,54,Scottsdale,5,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Iran,54,Tucson,8,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Iraq,344,Avondale,5,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Iraq,344,Chandler,7,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Iraq,344,Gilbert,4,"51,458"
From: 01 Jan 2011,To: 31 Dec 2011,Arizona,CY 2011,"1,961",Iraq,344,Glendale,33,"51,458"
