Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2003,To: 31 Dec 2003,Alabama,CY 2003,51,Afghanistan,5,Mobile,5,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alabama,CY 2003,51,Cuba,13,Mobile,13,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alabama,CY 2003,51,Dem. Rep. Congo,3,Mobile,3,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alabama,CY 2003,51,Ethiopia,3,Huntsville,3,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alabama,CY 2003,51,Iran,4,Huntsville,3,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alabama,CY 2003,51,Iran,4,Mobile,1,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alabama,CY 2003,51,Liberia,7,Mobile,7,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alabama,CY 2003,51,Serbia,6,Mobile,6,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alabama,CY 2003,51,Sierra Leone,2,Mobile,2,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alabama,CY 2003,51,Sudan,3,Mobile,3,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alabama,CY 2003,51,Ukraine,1,Pelham,1,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alabama,CY 2003,51,Vietnam,4,Mobile,4,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alaska,CY 2003,16,Russia,8,Delta Junction,3,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alaska,CY 2003,16,Russia,8,Wasilla,5,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alaska,CY 2003,16,Serbia,4,Anchorage,4,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Alaska,CY 2003,16,Ukraine,4,Delta Junction,4,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Arizona,CY 2003,"1,070",Afghanistan,110,Phoenix,85,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Arizona,CY 2003,"1,070",Afghanistan,110,Scottsdale,4,"32,235"
From: 01 Jan 2003,To: 31 Dec 2003,Arizona,CY 2003,"1,070",Afghanistan,110,Tucson,21,"32,235"
