Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2017,To: 31 Dec 2017,Alabama,CY 2017,50,Afghanistan,9,Mobile,9,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alabama,CY 2017,50,Burma,1,Birmingham,1,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alabama,CY 2017,50,Colombia,3,Bessemer,3,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alabama,CY 2017,50,Dem. Rep. Congo,19,Mobile,19,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alabama,CY 2017,50,Iraq,6,Mobile,5,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alabama,CY 2017,50,Iraq,6,Theodore,1,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alabama,CY 2017,50,Somalia,3,Mobile,3,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alabama,CY 2017,50,Sudan,6,Mobile,6,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alabama,CY 2017,50,Ukraine,3,Huntsville,3,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alaska,CY 2017,65,Dem. Rep. Congo,9,Anchorage,9,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alaska,CY 2017,65,Republic of South Sudan,4,Anchorage,4,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alaska,CY 2017,65,Russia,11,Delta Junction,5,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alaska,CY 2017,65,Russia,11,Wasilla,6,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alaska,CY 2017,65,Somalia,1,Anchorage,1,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alaska,CY 2017,65,Ukraine,40,Anchorage,3,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Alaska,CY 2017,65,Ukraine,40,Wasilla,37,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Afghanistan,65,Glendale,10,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Afghanistan,65,Phoenix,45,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Afghanistan,65,Tucson,10,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Bhutan,15,Glendale,3,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Bhutan,15,Phoenix,3,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Bhutan,15,Tucson,9,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burma,61,Glendale,25,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burma,61,Phoenix,34,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burma,61,Tucson,2,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burundi,17,Phoenix,10,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burundi,17,Tolleson,3,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burundi,17,Tucson,4,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Cameroon,1,Tucson,1,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Central African Republic,15,Glendale,3,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Central African Republic,15,Tucson,12,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Colombia,3,Glendale,3,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Dem. Rep. Congo,275,Glendale,30,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Dem. Rep. Congo,275,Phoenix,176,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Dem. Rep. Congo,275,Tucson,69,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Eritrea,85,Glendale,20,"33,368"
From: 01 Jan 2017,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Eritrea,85,Phoenix,44,"33,368"
