Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Afghanistan,7,Mobile,7,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Burma,15,Mobile,15,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Cuba,6,Mobile,5,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Cuba,6,Theodore,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Dem. Rep. Congo,21,Mobile,21,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Eritrea,1,Mobile,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Ethiopia,7,Mobile,7,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Iran,1,Mobile,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Iraq,18,Birmingham,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Iraq,18,Mobile,16,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Pakistan,15,Mobile,15,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Somalia,48,Mobile,48,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alabama,CY 2012,149,Sudan,10,Mobile,10,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alaska,CY 2012,97,Bhutan,6,Anchorage,6,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alaska,CY 2012,97,Burma,30,Anchorage,30,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alaska,CY 2012,97,Eritrea,2,Anchorage,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alaska,CY 2012,97,Ethiopia,1,Anchorage,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alaska,CY 2012,97,Iraq,5,Anchorage,5,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alaska,CY 2012,97,Somalia,25,Anchorage,25,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alaska,CY 2012,97,Sudan,22,Anchorage,22,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Alaska,CY 2012,97,Uzbekistan,6,Anchorage,6,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Afghanistan,19,Phoenix,14,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Afghanistan,19,Tucson,5,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Bhutan,351,Phoenix,203,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Bhutan,351,Tucson,148,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Burma,331,Glendale,19,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Burma,331,Phoenix,298,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Burma,331,Tucson,14,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Burundi,2,Tucson,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Central African Republic,18,Phoenix,14,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Central African Republic,18,Tucson,4,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Chad,6,Phoenix,5,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Chad,6,Tucson,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Congo,2,Tucson,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Cuba,47,Phoenix,37,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Cuba,47,Tucson,10,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Dem. Rep. Congo,135,Glendale,8,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Dem. Rep. Congo,135,Phoenix,87,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Dem. Rep. Congo,135,Tucson,40,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Eritrea,137,Laveen,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Eritrea,137,Phoenix,57,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Eritrea,137,Tucson,79,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Ethiopia,34,Phoenix,25,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Ethiopia,34,Tolleson,3,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Ethiopia,34,Tucson,6,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Guinea,1,Phoenix,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iran,80,Chandler,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iran,80,Gilbert,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iran,80,Glendale,4,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iran,80,Mesa,8,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iran,80,Phoenix,58,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iran,80,Scottsdale,6,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iran,80,Tempe,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Avondale,8,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Gilbert,8,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Glendale,120,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Goodyear,9,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Mesa,17,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Peoria,30,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Phoenix,516,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Queen Creek,4,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Scottsdale,15,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Surprise,11,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Tempe,20,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Tucson,107,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Vail,5,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Iraq,880,Youngtown,10,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Ivory Coast,5,Goodyear,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Ivory Coast,5,Tucson,4,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686","Korea, North",4,Chandler,4,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Nepal,6,Phoenix,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Nepal,6,Tucson,4,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Palestine,9,Tempe,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Palestine,9,Tucson,8,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Rwanda,19,Phoenix,4,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Rwanda,19,Tucson,15,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Somalia,399,Mesa,5,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Somalia,399,Phoenix,233,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Somalia,399,Tempe,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Somalia,399,Tucson,160,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",South Africa,1,Tucson,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Sri Lanka (Ceylon),2,Phoenix,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Sudan,138,Glendale,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Sudan,138,Phoenix,34,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Sudan,138,Tucson,103,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Togo,2,Phoenix,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arizona,CY 2012,"2,686",Uzbekistan,58,Phoenix,58,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arkansas,CY 2012,10,Burma,6,Clarksville,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arkansas,CY 2012,10,Burma,6,Huntsville,4,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arkansas,CY 2012,10,Iraq,3,Springdale,3,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,Arkansas,CY 2012,10,Syria,1,Springdale,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Afghanistan,118,Fremont,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Afghanistan,118,Newark,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Afghanistan,118,Oakland,12,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Afghanistan,118,Sacramento,74,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Afghanistan,118,San Diego,24,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Afghanistan,118,Turlock,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Afghanistan,118,Walnut Creek,3,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Armenia,8,Citrus Heights,8,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Belarus,11,Sacramento,5,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Belarus,11,West Sacramento,6,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Bhutan,103,Oakland,50,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Bhutan,103,Sacramento,26,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Bhutan,103,San Diego,23,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Bhutan,103,San Jose,4,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Burma,405,Alhambra,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Burma,405,Anaheim,10,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Burma,405,Arcadia,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Burma,405,Concord,3,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Burma,405,Daly City,4,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Burma,405,Emeryville,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Burma,405,Fremont,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2012,California,CY 2012,"6,230",Burma,405,Fullerton,1,"66,292"
