"","X1","Textbox87","Textbox82","nat_definition4","region_name_3","textbox37","Category3","textbox39","Assur_DestinationCity1","Cases3","Cases4"
"1",29201,"From: 01 Jan 2002","To: 31 Dec 2002","Alabama",2002,39,"Afghanistan",10,"Mobile",10,30289
"2",53618,"From: 01 Jan 2003","To: 31 Dec 2003","Alabama",2003,51,"Afghanistan",5,"Mobile",5,32235
"3",35212,"From: 01 Jan 2004","To: 31 Dec 2004","Alabama",2004,82,"Bosnia and Herzegovina",1,"Mobile",1,56342
"4",38479,"From: 01 Jan 2005","To: 31 Dec 2005","Alabama",2005,99,"Cuba",6,"Ashland",1,51897
"5",44151,"From: 01 Jan 2006","To: 31 Dec 2006","Alabama",2006,56,"Cuba",3,"Mobile",3,39552
"6",41465,"From: 01 Jan 2007","To: 31 Dec 2007","Alabama",2007,137,"Burma",7,"Mobile",6,47753
"7",20266,"From: 01 Jan 2008","To: 31 Dec 2008","Alabama",2008,165,"Burma",4,"Birmingham",2,64733
"8",23245,"From: 01 Jan 2009","To: 31 Dec 2009","Alabama",2009,211,"Afghanistan",5,"Mobile",5,79942
"9",46877,"From: 01 Jan 2010","To: 31 Dec 2010","Alabama",2010,153,"Afghanistan",8,"Mobile",8,71361
"10",49763,"From: 01 Jan 2011","To: 31 Dec 2011","Alabama",2011,86,"Afghanistan",5,"Mobile",5,51458
"11",2381,"From: 01 Jan 2012","To: 31 Dec 2012","Alabama",2012,149,"Afghanistan",7,"Mobile",7,66292
"12",10087,"From: 01 Jan 2013","To: 31 Dec 2013","Alabama",2013,122,"Afghanistan",9,"Mobile",9,66066
"13",12874,"From: 01 Jan 2014","To: 31 Dec 2014","Alabama",2014,116,"Afghanistan",1,"Mobile",1,72820
"14",26355,"From: 01 Jan 2015","To: 31 Dec 2015","Alabama",2015,97,"Burma",14,"Birmingham",1,66517
"15",5025,"From: 01 Jan 2016","To: 31 Dec 2016","Alabama",2016,120,"Afghanistan",9,"Mobile",9,96874
"16",1,"From: 01 Jan 2017","To: 31 Dec 2017","Alabama",2017,50,"Afghanistan",9,"Mobile",9,33368
"17",8487,"From: 01 Jan 2018","To: 31 Dec 2018","Alabama",2018,35,"Burma",1,"Birmingham",1,22874
"18",15729,"From: 01 Jan 2019","To: 31 Dec 2019","Alabama",2019,21,"Dem. Rep. Congo",13,"Mobile",13,27514
"19",29212,"From: 01 Jan 2002","To: 31 Dec 2002","Alaska",2002,31,"Bosnia and Herzegovina",1,"Anchorage",1,30289
"20",53630,"From: 01 Jan 2003","To: 31 Dec 2003","Alaska",2003,16,"Russia",8,"Delta Junction",3,32235
"21",35222,"From: 01 Jan 2004","To: 31 Dec 2004","Alaska",2004,56,"Burma",1,"Phoenix",1,56342
"22",38487,"From: 01 Jan 2005","To: 31 Dec 2005","Alaska",2005,67,"Iran",2,"Juneau",2,51897
"23",44156,"From: 01 Jan 2006","To: 31 Dec 2006","Alaska",2006,37,"Cuba",4,"Fairbanks",4,39552
"24",41475,"From: 01 Jan 2007","To: 31 Dec 2007","Alaska",2007,17,"Moldova",2,"Delta Junction",2,47753
"25",20279,"From: 01 Jan 2008","To: 31 Dec 2008","Alaska",2008,85,"Dem. Rep. Congo",24,"Anchorage",24,64733
"26",23262,"From: 01 Jan 2009","To: 31 Dec 2009","Alaska",2009,93,"Bhutan",58,"Anchorage",58,79942
"27",46890,"From: 01 Jan 2010","To: 31 Dec 2010","Alaska",2010,107,"Bhutan",42,"Anchorage",42,71361
"28",49773,"From: 01 Jan 2011","To: 31 Dec 2011","Alaska",2011,102,"Bhutan",17,"Anchorage",17,51458
"29",2394,"From: 01 Jan 2012","To: 31 Dec 2012","Alaska",2012,97,"Bhutan",6,"Anchorage",6,66292
"30",10097,"From: 01 Jan 2013","To: 31 Dec 2013","Alaska",2013,89,"Bhutan",5,"Anchorage",5,66066
"31",12888,"From: 01 Jan 2014","To: 31 Dec 2014","Alaska",2014,203,"Bhutan",10,"Anchorage",10,72820
"32",26364,"From: 01 Jan 2015","To: 31 Dec 2015","Alaska",2015,110,"Bhutan",4,"Anchorage",4,66517
"33",5036,"From: 01 Jan 2016","To: 31 Dec 2016","Alaska",2016,112,"Bhutan",6,"Anchorage",6,96874
"34",10,"From: 01 Jan 2017","To: 31 Dec 2017","Alaska",2017,65,"Dem. Rep. Congo",9,"Anchorage",9,33368
"35",8493,"From: 01 Jan 2018","To: 31 Dec 2018","Alaska",2018,33,"Dem. Rep. Congo",6,"Anchorage",6,22874
"36",15732,"From: 01 Jan 2019","To: 31 Dec 2019","Alaska",2019,39,"Dem. Rep. Congo",8,"Anchorage",8,27514
"37",29217,"From: 01 Jan 2002","To: 31 Dec 2002","Arizona",2002,934,"Afghanistan",198,"Chandler",4,30289
"38",53634,"From: 01 Jan 2003","To: 31 Dec 2003","Arizona",2003,1070,"Afghanistan",110,"Phoenix",85,32235
"39",35228,"From: 01 Jan 2004","To: 31 Dec 2004","Arizona",2004,2087,"Afghanistan",52,"Glendale",3,56342
"40",38491,"From: 01 Jan 2005","To: 31 Dec 2005","Arizona",2005,1987,"Afghanistan",142,"Gilbert",3,51897
