year,type,growth,proportiontype,proportion
Class of 2006,femalegrowth,0.222579087,propfemale,17.23080034
Class of 2007,femalegrowth,1.910457547,propfemale,17.19293371
Class of 2008,femalegrowth,2.906818926,propfemale,17.53485705
Class of 2009,femalegrowth,3.33714972,propfemale,17.94082527
Class of 2010,femalegrowth,2.403995741,propfemale,18.02962523
Class of 2011,femalegrowth,2.427951879,propfemale,18.31251736
Class of 2012,femalegrowth,3.179944724,propfemale,18.75694143
Class of 2013,femalegrowth,1.926110286,propfemale,19.2047332
Class of 2006,blackgrowth,-1.827405516,propfemale,17.23080034
Class of 2007,blackgrowth,-1.095955873,propfemale,17.19293371
Class of 2008,blackgrowth,-0.904692323,propfemale,17.53485705
Class of 2009,blackgrowth,-0.819640024,propfemale,17.94082527
Class of 2010,blackgrowth,-0.740946279,propfemale,18.02962523
Class of 2011,blackgrowth,-0.747868936,propfemale,18.31251736
Class of 2012,blackgrowth,-0.55156266,propfemale,18.75694143
Class of 2013,blackgrowth,-1.290845784,propfemale,19.2047332
Class of 2006,hispanicgrowth,0.590218131,propfemale,17.23080034
Class of 2007,hispanicgrowth,1.654956657,propfemale,17.19293371
Class of 2008,hispanicgrowth,1.952247918,propfemale,17.53485705
Class of 2009,hispanicgrowth,2.438152206,propfemale,17.94082527
Class of 2010,hispanicgrowth,2.313960921,propfemale,18.02962523
Class of 2011,hispanicgrowth,2.16504203,propfemale,18.31251736
Class of 2012,hispanicgrowth,2.33996214,propfemale,18.75694143
Class of 2013,hispanicgrowth,1.30919665,propfemale,19.2047332
Class of 2006,femalegrowth,0.222579087,prophispanic,8.974102873
Class of 2007,femalegrowth,1.910457547,prophispanic,9.13338427
Class of 2008,femalegrowth,2.906818926,prophispanic,9.463553613
Class of 2009,femalegrowth,3.33714972,prophispanic,10.08653413
Class of 2010,femalegrowth,2.403995741,prophispanic,10.24721816
Class of 2011,femalegrowth,2.427951879,prophispanic,10.60910688
Class of 2012,femalegrowth,3.179944724,prophispanic,10.7793526
Class of 2013,femalegrowth,1.926110286,prophispanic,11.08924599
Class of 2006,blackgrowth,-1.827405516,prophispanic,8.974102873
Class of 2007,blackgrowth,-1.095955873,prophispanic,9.13338427
Class of 2008,blackgrowth,-0.904692323,prophispanic,9.463553613
Class of 2009,blackgrowth,-0.819640024,prophispanic,10.08653413
Class of 2010,blackgrowth,-0.740946279,prophispanic,10.24721816
Class of 2011,blackgrowth,-0.747868936,prophispanic,10.60910688
Class of 2012,blackgrowth,-0.55156266,prophispanic,10.7793526
Class of 2013,blackgrowth,-1.290845784,prophispanic,11.08924599
Class of 2006,hispanicgrowth,0.590218131,prophispanic,8.974102873
Class of 2007,hispanicgrowth,1.654956657,prophispanic,9.13338427
Class of 2008,hispanicgrowth,1.952247918,prophispanic,9.463553613
Class of 2009,hispanicgrowth,2.438152206,prophispanic,10.08653413
Class of 2010,hispanicgrowth,2.313960921,prophispanic,10.24721816
Class of 2011,hispanicgrowth,2.16504203,prophispanic,10.60910688
Class of 2012,hispanicgrowth,2.33996214,prophispanic,10.7793526
Class of 2013,hispanicgrowth,1.30919665,prophispanic,11.08924599
Class of 2006,femalegrowth,0.222579087,propblack,5.77426268
Class of 2007,femalegrowth,1.910457547,propblack,5.573846403
Class of 2008,femalegrowth,2.906818926,propblack,5.592253788
Class of 2009,femalegrowth,3.33714972,propblack,5.380666853
Class of 2010,femalegrowth,2.403995741,propblack,5.322304913
Class of 2011,femalegrowth,2.427951879,propblack,5.278443828
Class of 2012,femalegrowth,3.179944724,propblack,5.06678484
Class of 2013,femalegrowth,1.926110286,propblack,5.01435283
Class of 2006,blackgrowth,-1.827405516,propblack,5.77426268
Class of 2007,blackgrowth,-1.095955873,propblack,5.573846403
Class of 2008,blackgrowth,-0.904692323,propblack,5.592253788
Class of 2009,blackgrowth,-0.819640024,propblack,5.380666853
Class of 2010,blackgrowth,-0.740946279,propblack,5.322304913
Class of 2011,blackgrowth,-0.747868936,propblack,5.278443828
Class of 2012,blackgrowth,-0.55156266,propblack,5.06678484
Class of 2013,blackgrowth,-1.290845784,propblack,5.01435283
Class of 2006,hispanicgrowth,0.590218131,propblack,5.77426268
Class of 2007,hispanicgrowth,1.654956657,propblack,5.573846403
Class of 2008,hispanicgrowth,1.952247918,propblack,5.592253788
Class of 2009,hispanicgrowth,2.438152206,propblack,5.380666853
Class of 2010,hispanicgrowth,2.313960921,propblack,5.322304913
Class of 2011,hispanicgrowth,2.16504203,propblack,5.278443828
Class of 2012,hispanicgrowth,2.33996214,propblack,5.06678484
Class of 2013,hispanicgrowth,1.30919665,propblack,5.01435283
