id,diverse_1994,diverse_2016,total_1994,total_2016
100005,0,0,3118,5447
100006,0,0,6707,5687
100007,0,0,7671,13938
100030,0,0,3788,3055
100060,0,0,2091,1744
100090,0,0,3584,2069
100100,0,0,2503,2612
100120,0,0,2915,3464
100180,0,0,1967,1611
100210,0,0,3987,8543
100240,0,0,7554,9307
100270,0,0,19961,31214
100300,0,0,2027,847
100330,0,0,4872,3605
100360,0,0,3539,3291
100390,0,0,41801,23158
100420,0,0,6239,7793
100450,0,0,1478,1113
100480,0,0,1972,1476
100510,0,0,4300,3131
100540,0,0,10309,8888
100600,0,0,4138,3651
100630,0,0,3714,4021
100660,0,0,6228,7756
100690,0,0,2929,1417
100720,0,0,4059,2691
100750,0,0,2616,1936
100780,0,0,2446,2614
100810,0,0,1913,2148
100840,0,0,3337,2619
100870,0,0,2382,1858
100900,0,0,1855,980
100930,0,0,3208,3121
100960,0,0,2382,2293
100990,0,0,2718,3094
101020,0,0,9209,9477
101050,0,0,2749,3135
101080,0,0,1767,1004
101110,0,0,5111,3145
101140,0,0,7247,9023
101170,0,0,8592,8710
101200,0,0,2178,2296
101230,0,0,9641,9213
101260,0,0,1124,613
101290,0,0,8647,11417
101320,0,0,5344,7052
101350,0,0,4965,4430
101380,0,0,8668,8764
101410,0,0,2972,3949
101440,0,0,2308,1740
101470,0,0,2879,2375
101530,0,0,4958,4470
101560,0,0,2642,3221
101590,0,0,3234,3607
101620,0,0,5883,5166
101640,0,0,1462,1269
101660,0,0,2860,2775
101680,0,0,2244,1154
101690,0,0,1624,1970
101710,0,0,3511,2611
101720,0,0,1783,1726
101730,0,0,2916,3210
101740,0,0,2823,2489
101760,0,0,3255,4170
101770,0,0,5754,6319
101800,0,0,24111,24026
101830,0,0,6363,5470
101860,0,0,1647,1590
101890,0,0,2571,2718
101920,0,0,40350,36085
101950,0,0,2991,2366
101980,0,0,1600,886
102010,0,0,8490,8409
102040,0,0,6143,4821
102070,0,0,6739,9653
102100,0,0,7314,9209
102130,0,0,705,494
102160,0,0,2931,1508
102190,0,0,4265,2023
102220,0,0,17191,19352
102250,0,0,1997,1048
102310,0,0,4087,3343
102350,0,0,1736,1086
102370,0,0,64316,56085
102400,0,0,5256,3499
102430,0,0,34719,30051
102480,0,0,7427,7683
102490,0,0,3650,4343
102520,0,0,2267,2883
102550,0,0,1182,1492
102580,0,0,4542,4395
102610,0,0,1605,1322
102635,0,0,2838,4143
102640,0,0,3345,2118
102650,0,0,3439,3999
102670,0,0,2413,1442
102700,0,0,4883,7029
102730,0,0,3951,2609
102760,0,0,1220,1235
102790,0,0,2576,2122
102820,0,0,2242,2251
102850,0,0,1582,1535
102880,0,0,3687,3399
102910,0,0,2318,2530
102940,0,0,2841,2522
102970,0,0,5040,3516
103000,0,0,1551,1068
103030,0,0,17711,20202
103062,0,0,6275,9124
103090,0,0,2866,1569
103120,0,0,2579,2274
103150,0,0,3639,1980
103180,0,0,7765,7613
103210,0,0,3300,2928
103240,0,0,1705,1849
103270,0,0,1445,1170
103300,0,0,1618,1271
103330,0,0,2257,1928
103360,0,0,10314,10394
103390,0,0,14785,18354
103420,0,0,1491,1517
103430,0,0,4164,7150
103450,0,1,9167,7723
103480,0,1,3755,2812
103510,0,1,2803,1767
103540,0,1,1416,1276
103580,0,1,2722,2486
200001,0,1,3357,3985
200003,0,1,1929,2013
200004,0,1,358,464
200005,0,1,230,355
200006,0,1,266,432
200007,0,1,367,239
200010,0,1,27,25
200020,0,1,1725,1970
200030,0,1,319,123
200050,0,1,533,379
200060,0,1,522,327
200070,0,1,619,440
200090,0,1,385,534
200100,0,1,985,798
200120,0,1,507,474
200130,0,1,159,4334
200150,0,1,2873,1900
200180,0,1,47655,44278
200210,0,1,5372,4624
200240,0,1,1788,1250
200270,0,1,414,266
200300,0,1,262,111
200330,0,1,110,76
200360,0,1,184,96
200390,0,1,10142,8177
200450,0,1,193,127
200480,0,1,2826,2425
200485,0,1,565,357
200510,0,1,12077,16042
200520,0,1,458,289
200525,0,1,406,315
200540,0,1,172,1111
200570,0,1,719,615
200600,0,1,16056,12580
200610,0,1,1860,2088
200625,0,1,1884,2131
200630,0,1,47,10
200660,0,1,757,475
200670,0,1,168,66
200680,0,1,110,215
200690,0,1,128,132
200700,0,1,381,188
200710,0,1,646,586
200715,0,1,101,36
200720,0,1,415,387
200730,0,1,335,169
200760,0,1,454,395
200770,0,1,383,873
200775,0,1,474,246
200780,0,1,925,646
200800,0,1,134,409
200810,0,1,573,273
200840,0,1,163,85
200862,0,1,726,1732
400001,0,1,1505,5446
400003,0,1,2105,2297
400004,0,1,411,453
400005,0,1,125,128
400021,0,1,981,536
400022,0,1,50,82
400023,0,1,879,1131
400026,0,1,523,361
400082,0,1,1610,1716
400450,0,1,1471,7769
400480,0,1,184,153
400520,0,1,596,430
400600,0,1,9961,13025
400630,0,1,35,61
400680,0,1,15257,13847
400720,0,1,379,231
400750,0,1,9,3
400790,0,1,4367,3727
400840,0,1,143,259
400870,0,1,71,15
400910,0,1,224,239
400960,0,1,2752,5583
401000,0,1,493,399
401050,0,1,1214,2467
401080,0,1,199,279
401160,0,1,178,127
401180,0,1,1347,737
401230,0,1,5,12
401260,0,1,76,107
401290,0,1,47,27
401330,0,1,107,56
401380,0,1,1140,4885
401410,0,1,947,4043
401460,0,1,7267,5862
401500,0,1,3099,2775
401600,0,1,1511,1567
401650,0,1,231,132
401680,0,1,15663,17919
401710,0,1,4304,6924
401740,0,1,1980,3619
401760,0,1,3672,5041
401810,0,1,662,125
401870,0,1,14257,43363
401940,0,1,4454,3514
402130,0,1,54,87
402190,0,1,197,167
402250,0,1,242,545
402320,0,1,2751,2109
402370,0,1,2178,2083
402400,0,1,5107,6247
402430,0,1,6900,6382
402460,0,1,14,6
402490,0,1,80,45
402530,0,1,4747,3664
402600,0,1,657,379
402690,0,1,4269,24651
402740,0,1,60,202
402760,0,1,228,114
402790,0,1,1366,870
402860,0,1,12252,9653
402920,0,1,1148,9338
403010,0,1,6096,5558
403040,0,1,2101,1491
403060,0,1,970,4682
403080,0,1,466,217
403150,0,1,1662,912
403200,0,1,597,605
403240,0,1,1521,5292
403290,0,1,2111,1388
403310,0,1,622,407
403400,0,1,13650,34776
403420,0,1,9962,12428
403450,0,1,12973,15460
403500,0,1,2086,1618
403550,0,1,393,285
403660,0,1,47,41
403730,0,1,545,268
403780,0,1,175,12097
403820,0,1,1971,2037
403860,0,1,1230,354
403870,0,1,3758,5692
403900,0,1,174,85
403950,1,0,1217,718
403960,1,0,7058,7291
403990,1,0,233,4541
404010,1,0,468,397
404060,1,0,2749,1693
404170,1,0,55,76
404230,1,0,14272,16452
404280,1,0,5288,5466
404290,1,0,1812,6839
404320,1,0,1058,3401
404380,1,0,1670,11381
404410,1,0,155,368
404440,1,0,1326,5641
404500,1,0,4353,5869
404530,1,0,90,119
404570,1,0,1850,745
404630,1,0,10060,12073
404720,1,0,1037,6632
404820,1,0,647,534
404860,1,0,83,130
404920,1,0,51,61
404970,1,0,67206,63179
405030,1,0,1950,1178
405070,1,0,1196,1191
405100,1,0,18,28
405190,1,0,1633,1124
405220,1,0,279,176
405320,1,0,1237,1388
405340,1,0,100,106
405400,1,0,2390,1637
405430,1,0,248,302
405460,1,0,387,839
405530,1,0,6473,5701
405670,1,0,3888,470
405730,1,0,53,18
405760,1,0,59,68
405820,1,0,3589,2717
405850,1,0,251,447
405880,1,0,864,1013
405930,1,0,30626,31737
405980,1,0,2323,1913
406000,1,0,122,77
406030,1,0,230,75
406070,1,0,2428,2349
406120,1,0,228,196
406150,1,0,130,97
406210,1,0,5348,10124
406250,1,0,25141,35347
406300,1,0,8633,6640
406330,1,0,20681,25259
406360,1,0,177,187
406440,1,0,684,808
406510,1,0,263,122
406580,1,0,2090,2138
406630,1,0,125,90
406730,1,0,5532,3948
406740,1,0,1224,697
406780,1,0,327,191
406810,1,0,1089,6590
406850,1,0,932,421
406870,1,0,791,551
406900,1,0,73,337
406960,1,0,1633,1650
407020,1,0,190,947
407080,1,0,11407,9131
407130,1,0,1917,1278
407170,1,0,253,1539
407200,1,0,773,556
407240,1,0,2952,3078
407300,1,0,2028,6363
407380,1,0,20,21
407430,1,0,113,114
407500,1,0,131,225
407520,1,0,1413,3392
407530,1,0,514,453
407570,1,0,22520,23326
407630,1,0,192,125
407680,1,0,26,34
407700,1,1,2375,2475
407750,1,1,18783,33838
407770,1,1,27,14
407820,1,1,2571,2546
407860,1,1,202,194
407890,1,1,2058,2949
407920,1,1,96,110
408020,1,1,414,379
408080,1,1,1239,848
408130,1,1,581,497
408170,1,1,14323,16119
408230,1,1,684,367
408280,1,1,1500,2104
408310,1,1,13460,11657
408340,1,1,10409,13604
408410,1,1,1495,1717
408430,1,1,72,102
408460,1,1,11,21
408490,1,1,913,3074
408520,1,1,3156,11036
408550,1,1,637,1016
408600,1,1,755,798
408640,1,1,176,93
408680,1,1,2841,1710
408800,1,1,61920,46658
408820,1,1,109,1954
408850,1,1,1124,12617
408880,1,1,56,104
408910,1,1,196,115
409060,1,1,23337,23306
409090,1,1,464,204
409120,1,1,104,76
409160,1,1,2436,2266
409190,1,1,1360,1436
409250,1,1,1496,1140
409310,1,1,789,639
409390,1,1,1050,1186
409430,1,1,3259,1864
409460,1,1,2676,2148
409510,1,1,47,36
409540,1,1,94,36
409570,1,1,21,36
409600,1,1,9648,8552
409630,1,1,7205,10859
409733,1,1,1002,1035
500001,1,1,1287,1319
500009,1,1,1225,935
500012,1,1,816,848
