County,MICHAEL BENNET,JOSEPH R. BIDEN,MICHAEL R. BLOOMBERG,CORY BOOKER,PETE BUTTIGIEG,JULIÁN CASTRO,"ROQUE ""ROCKY"" DE LA FUENTE",JOHN K. DELANEY,TULSI GABBARD,AMY KLOBUCHAR,DEVAL PATRICK,Bernie Sanders,TOM STEYER,ELIZABETH WARREN,ROBBY WELLS,MARIANNE WILLIAMSON,ANDREW YANG,Total Votes,Total Voters,Turnout,year
All COUNTIES,"10,404","715,897","298,838","4,913","82,160","16,835","5,587","3,277","8,695","43,013","1,316","622,237","13,793","236,996","1,514","3,902","6,669","2,076,046","16,211,198",12.81%,2020
ANDERSON,1,753,295,8,41,7,6,0,5,21,0,333,21,69,6,1,3,"1,570","28,190",5.57%,2020
ANDREWS,0,81,33,1,3,2,0,0,0,2,0,84,2,22,0,0,1,231,"9,955",2.32%,2020
ANGELINA,10,"1,632",465,3,80,17,11,8,13,73,9,648,16,213,5,15,9,"3,227","51,617",6.25%,2020
ARANSAS,0,502,176,0,67,1,7,0,5,55,3,222,3,128,1,2,5,"1,177","17,357",6.78%,2020
ARCHER,0,92,38,1,13,0,1,0,1,15,0,36,1,21,0,0,0,219,"6,333",3.46%,2020
ARMSTRONG,0,11,4,0,0,0,0,0,1,1,0,10,1,0,0,0,0,28,"1,443",1.94%,2020
ATASCOSA,14,800,585,2,76,142,25,6,10,41,3,736,51,207,5,9,11,"2,723","28,100",9.69%,2020
AUSTIN,1,460,205,2,33,3,0,2,4,22,2,214,18,54,3,2,2,"1,027","19,683",5.22%,2020
BAILEY,0,47,15,0,4,0,2,1,1,0,0,34,2,11,0,0,0,117,"3,499",3.34%,2020
BANDERA,0,443,170,0,60,1,1,0,1,42,0,281,10,123,1,7,4,"1,144","16,271",7.03%,2020
BASTROP,7,"2,365","1,000",9,323,14,5,8,27,223,5,"2,274",85,998,2,1,15,"7,361","48,930",15.04%,2020
BAYLOR,0,27,19,0,0,0,0,0,2,2,0,5,2,6,1,0,1,65,"2,325",2.80%,2020
BEE,10,490,173,0,20,31,6,3,8,19,1,238,17,81,0,6,4,"1,107","15,667",7.07%,2020
BELL,31,"7,793","2,434",34,652,43,16,21,74,338,8,"4,774",76,"1,693",12,39,67,"18,105","201,425",8.99%,2020
BEXAR,231,"48,923","26,031",190,"7,432","3,258",193,80,566,"4,112",43,"56,763","1,261","21,046",63,98,472,"170,762","1,131,650",15.09%,2020
BLANCO,1,375,142,0,65,1,0,0,2,39,0,240,10,164,0,0,1,"1,040","8,748",11.89%,2020
BORDEN,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,484,1.24%,2020
BOSQUE,2,293,114,0,17,1,1,4,3,25,0,172,12,69,1,1,0,715,"12,194",5.86%,2020
BOWIE,15,"2,066",487,11,70,2,0,7,10,46,3,700,27,215,4,19,7,"3,689","59,404",6.21%,2020
BRAZORIA,68,"8,839","3,119",21,759,21,30,5,101,488,4,"5,840",123,"2,159",3,10,71,"21,661","213,220",10.16%,2020
BRAZOS,60,"4,090",998,61,439,14,6,1,64,304,1,"4,740",82,"1,976",23,6,81,"12,946","117,020",11.06%,2020
BREWSTER,4,343,156,4,57,10,6,3,14,41,2,410,5,245,1,3,6,"1,310","7,204",18.18%,2020
BRISCOE,0,9,5,0,3,1,2,0,0,2,0,4,1,7,0,0,0,34,"1,025",3.32%,2020
BROOKS,18,289,424,3,41,46,52,10,21,25,2,522,10,65,12,7,4,"1,551","5,534",28.03%,2020
BROWN,1,366,69,2,38,2,1,0,3,14,1,183,12,66,0,2,0,760,"23,340",3.26%,2020
BURLESON,2,378,149,2,18,1,1,4,2,17,1,122,2,44,0,3,2,748,"11,900",6.29%,2020
BURNET,2,"1,021",429,2,117,7,1,8,13,90,1,575,21,287,3,2,3,"2,582","31,837",8.11%,2020
CALDWELL,8,978,431,2,111,38,7,4,10,70,4,955,32,320,3,3,12,"2,988","25,109",11.90%,2020
CALHOUN,3,427,159,5,26,5,3,2,6,15,0,191,12,71,0,1,2,928,"12,720",7.30%,2020
CALLAHAN,1,119,14,0,8,1,3,0,0,5,0,74,5,20,1,1,0,252,"9,432",2.67%,2020
CAMERON,285,"7,508","6,355",74,"1,154",962,604,339,325,593,108,"10,470",255,"1,947",73,95,205,"31,352","213,667",14.67%,2020
CAMP,5,350,114,1,18,0,1,1,5,12,0,120,5,31,1,1,0,665,"7,677",8.66%,2020
CARSON,1,66,18,0,4,0,1,0,2,1,0,25,0,14,0,0,1,133,"4,271",3.11%,2020
CASS,6,620,150,7,17,3,0,4,52,17,1,202,21,48,1,2,3,"1,154","20,237",5.70%,2020
CASTRO,0,51,60,0,1,1,0,1,5,4,1,32,0,10,2,0,1,169,"3,811",4.43%,2020
CHAMBERS,2,500,183,4,47,0,0,6,4,32,0,337,17,95,1,4,4,"1,236","29,217",4.23%,2020
CHEROKEE,5,836,268,1,36,8,1,0,5,46,2,297,10,108,2,1,2,"1,628","28,002",5.81%,2020
CHILDRESS,1,52,15,0,3,1,0,0,0,2,0,32,3,11,1,0,1,122,"3,567",3.42%,2020
CLAY,1,133,34,0,14,0,2,0,1,8,0,43,1,29,0,2,0,268,"7,698",3.48%,2020
COCHRAN,0,17,4,0,0,0,0,0,0,0,0,8,0,3,0,0,0,32,"1,757",1.82%,2020
COKE,1,26,14,1,6,0,0,0,0,3,0,12,2,5,0,0,1,71,"2,299",3.09%,2020
COLEMAN,1,70,16,1,9,0,0,0,1,12,0,36,2,15,0,0,0,163,"5,818",2.80%,2020
COLLIN,45,"29,960","11,229",74,"4,496",71,19,26,264,"2,122",18,"25,548",514,"9,585",11,31,337,"84,350","603,975",13.97%,2020
COLLINGSWORTH,0,22,15,1,1,2,0,0,0,3,0,11,0,8,0,0,0,63,"1,905",3.31%,2020
COLORADO,9,427,142,7,36,6,5,9,8,25,4,167,11,57,3,6,3,925,"13,966",6.62%,2020
COMAL,4,"3,620","1,393",12,683,31,8,17,52,396,1,"2,411",60,"1,296",2,7,20,"10,013","106,520",9.40%,2020
COMANCHE,0,145,84,0,12,4,1,1,0,12,0,102,7,26,1,2,0,397,"9,288",4.27%,2020
CONCHO,0,27,10,0,2,0,0,0,0,0,0,19,0,7,0,0,0,65,"1,669",3.89%,2020
COOKE,3,498,230,2,35,1,0,3,3,22,0,308,16,94,0,3,3,"1,221","26,040",4.69%,2020
CORYELL,1,977,335,12,86,4,3,0,12,61,2,698,7,215,2,6,15,"2,436","39,032",6.24%,2020
COTTLE,0,20,8,2,3,1,1,1,0,0,0,18,1,6,0,0,0,61,"1,029",5.93%,2020
CRANE,0,24,12,1,3,2,1,0,1,0,0,25,1,4,0,0,0,74,"2,643",2.80%,2020
CROCKETT,2,84,42,1,6,18,3,4,14,19,1,77,6,26,1,5,4,313,"2,458",12.73%,2020
CROSBY,0,83,33,0,4,2,0,1,1,4,0,55,0,9,0,0,0,192,"3,525",5.45%,2020
CULBERSON,4,128,137,6,22,10,17,6,12,7,1,188,7,21,7,6,10,589,"1,684",34.98%,2020
DALLAM,0,20,9,1,5,1,1,0,0,0,0,26,0,3,1,0,0,67,"3,003",2.23%,2020
DALLAS,"1,821","93,426","31,419","1,281","8,944",429,150,604,557,"3,414",46,"62,611","2,220","22,913",60,"1,344",449,"231,688","1,343,237",17.25%,2020
DAWSON,2,101,89,3,13,10,5,11,1,0,0,71,3,19,0,1,3,332,"7,048",4.71%,2020
DEAF SMITH,2,133,84,1,6,8,2,0,1,7,2,85,3,24,0,2,5,365,"8,816",4.14%,2020
DELTA,0,30,23,2,6,1,1,0,0,1,0,33,0,8,0,2,0,107,"3,855",2.78%,2020
DENTON,62,"21,936","8,126",74,"3,621",57,19,20,244,"1,648",17,"22,238",444,"8,343",13,36,194,"67,092","525,530",12.77%,2020
DEWITT,2,235,89,0,15,5,2,0,0,15,0,108,6,39,0,0,1,517,"11,713",4.41%,2020
DICKENS,0,15,18,0,2,1,0,0,0,2,0,8,0,10,0,0,0,56,"1,291",4.34%,2020
DIMMIT,146,660,907,10,93,347,198,25,31,47,12,"1,159",66,145,24,21,50,"3,941","7,302",53.97%,2020
DONLEY,2,22,12,0,0,0,0,0,1,4,0,14,0,5,0,0,0,60,"2,232",2.69%,2020
DUVAL,20,511,505,2,56,54,82,14,21,41,4,820,30,109,8,6,18,"2,301","8,177",28.14%,2020
