"","long","lat","group","order","region","subregion","avgvac"
"1",-95.7527084350586,31.5355987548828,2492,74520,"texas","anderson",0.967679731846589
"2",-95.769889831543,31.5585174560547,2492,74521,"texas","anderson",0.967679731846589
"3",-95.76416015625,31.5814323425293,2492,74522,"texas","anderson",0.967679731846589
"4",-95.7297897338867,31.5814323425293,2492,74523,"texas","anderson",0.967679731846589
"5",-95.7469787597656,31.6100807189941,2492,74524,"texas","anderson",0.967679731846589
"6",-95.7240524291992,31.6387310028076,2492,74525,"texas","anderson",0.967679731846589
"7",-95.7527084350586,31.6731071472168,2492,74526,"texas","anderson",0.967679731846589
"8",-95.769889831543,31.6673755645752,2492,74527,"texas","anderson",0.967679731846589
"9",-95.7756271362305,31.632999420166,2492,74528,"texas","anderson",0.967679731846589
"10",-95.7985458374023,31.6387310028076,2492,74529,"texas","anderson",0.967679731846589
"11",-95.8099975585938,31.6731071472168,2492,74530,"texas","anderson",0.967679731846589
"12",-95.7928161621094,31.7132129669189,2492,74531,"texas","anderson",0.967679731846589
"13",-95.8214645385742,31.707483291626,2492,74532,"texas","anderson",0.967679731846589
"14",-95.8787612915039,31.7132129669189,2492,74533,"texas","anderson",0.967679731846589
"15",-95.8787612915039,31.7533206939697,2492,74534,"texas","anderson",0.967679731846589
"16",-95.9188690185547,31.7819690704346,2492,74535,"texas","anderson",0.967679731846589
"17",-95.947509765625,31.7819690704346,2492,74536,"texas","anderson",0.967679731846589
"18",-95.9876174926758,31.8048877716064,2492,74537,"texas","anderson",0.967679731846589
"19",-95.9818878173828,31.8392658233643,2492,74538,"texas","anderson",0.967679731846589
"20",-95.9990768432617,31.8621845245361,2492,74539,"texas","anderson",0.967679731846589
"21",-95.9818878173828,31.885103225708,2492,74540,"texas","anderson",0.967679731846589
"22",-96.0219955444336,31.885103225708,2492,74541,"texas","anderson",0.967679731846589
"23",-96.0334548950195,31.9022903442383,2492,74542,"texas","anderson",0.967679731846589
"24",-96.0105361938477,31.9366664886475,2492,74543,"texas","anderson",0.967679731846589
"25",-96.0219955444336,31.948127746582,2492,74544,"texas","anderson",0.967679731846589
"26",-96.0735626220703,31.9595851898193,2492,74545,"texas","anderson",0.967679731846589
"27",-96.0678329467773,31.9939613342285,2492,74546,"texas","anderson",0.967679731846589
"28",-96.0621032714844,32.0168800354004,2492,74547,"texas","anderson",0.967679731846589
"29",-95.4490356445312,32.097095489502,2492,74548,"texas","anderson",0.967679731846589
"30",-95.4433059692383,32.0741806030273,2492,74549,"texas","anderson",0.967679731846589
"31",-95.4433059692383,32.0283432006836,2492,74550,"texas","anderson",0.967679731846589
"32",-95.4547729492188,31.9825038909912,2492,74551,"texas","anderson",0.967679731846589
"33",-95.4318466186523,31.9538555145264,2492,74552,"texas","anderson",0.967679731846589
"34",-95.4375762939453,31.8736419677734,2492,74553,"texas","anderson",0.967679731846589
"35",-95.408935546875,31.8449954986572,2492,74554,"texas","anderson",0.967679731846589
"36",-95.3917388916016,31.7876968383789,2492,74555,"texas","anderson",0.967679731846589
"37",-95.3516311645508,31.7418632507324,2492,74556,"texas","anderson",0.967679731846589
"38",-95.3000717163086,31.7246723175049,2492,74557,"texas","anderson",0.967679731846589
"39",-95.2943420410156,31.6731071472168,2492,74558,"texas","anderson",0.967679731846589
"40",-95.2656936645508,31.6158123016357,2492,74559,"texas","anderson",0.967679731846589
"41",-95.7527084350586,31.5355987548828,2492,74560,"texas","anderson",0.967679731846589
"42",-102.204208374023,32.085636138916,2493,74562,"texas","andrews",0.971533516988062
"43",-102.278694152832,32.085636138916,2493,74563,"texas","andrews",0.971533516988062
"44",-102.811546325684,32.0741806030273,2493,74564,"texas","andrews",0.971533516988062
"45",-103.07511138916,32.0741806030273,2493,74565,"texas","andrews",0.971533516988062
"46",-103.07511138916,32.5096244812012,2493,74566,"texas","andrews",0.971533516988062
"47",-102.209945678711,32.5210838317871,2493,74567,"texas","andrews",0.971533516988062
"48",-102.204208374023,32.085636138916,2493,74568,"texas","andrews",0.971533516988062
"49",-94.131233215332,31.123067855835,2494,74570,"texas","angelina",0.969315030889321
"50",-94.4578247070312,31.0543117523193,2494,74571,"texas","angelina",0.969315030889321
"51",-94.5666885375977,31.0829620361328,2494,74572,"texas","angelina",0.969315030889321
"52",-94.8417053222656,31.1689052581787,2494,74573,"texas","angelina",0.969315030889321
"53",-94.8703536987305,31.2319278717041,2494,74574,"texas","angelina",0.969315030889321
"54",-94.8703536987305,31.2663078308105,2494,74575,"texas","angelina",0.969315030889321
"55",-94.9047241210938,31.2892265319824,2494,74576,"texas","angelina",0.969315030889321
"56",-94.8818130493164,31.3178730010986,2494,74577,"texas","angelina",0.969315030889321
"57",-94.956298828125,31.3637104034424,2494,74578,"texas","angelina",0.969315030889321
"58",-94.9391021728516,31.3808975219727,2494,74579,"texas","angelina",0.969315030889321
"59",-94.962028503418,31.4038162231445,2494,74580,"texas","angelina",0.969315030889321
"60",-94.9906692504883,31.4496536254883,2494,74581,"texas","angelina",0.969315030889321
"61",-94.85888671875,31.5527858734131,2494,74582,"texas","angelina",0.969315030889321
"62",-94.8359756469727,31.5241374969482,2494,74583,"texas","angelina",0.969315030889321
"63",-94.7271118164062,31.4783000946045,2494,74584,"texas","angelina",0.969315030889321
"64",-94.6067962646484,31.4611110687256,2494,74585,"texas","angelina",0.969315030889321
"65",-94.5494995117188,31.432466506958,2494,74586,"texas","angelina",0.969315030889321
"66",-94.509391784668,31.432466506958,2494,74587,"texas","angelina",0.969315030889321
"67",-94.4864654541016,31.4267349243164,2494,74588,"texas","angelina",0.969315030889321
"68",-94.4750137329102,31.3751678466797,2494,74589,"texas","angelina",0.969315030889321
"69",-94.3833389282227,31.2892265319824,2494,74590,"texas","angelina",0.969315030889321
"70",-94.3375015258789,31.2491188049316,2494,74591,"texas","angelina",0.969315030889321
"71",-94.131233215332,31.123067855835,2494,74592,"texas","angelina",0.969315030889321
"72",-96.8012161254883,28.3155746459961,2495,74594,"texas","aransas",0.973529411764706
"73",-96.8126754760742,28.2869262695312,2495,74595,"texas","aransas",0.973529411764706
"74",-96.8069458007812,28.2582778930664,2495,74596,"texas","aransas",0.973529411764706
"75",-96.8241424560547,28.2181720733643,2495,74597,"texas","aransas",0.973529411764706
"76",-96.8757019042969,28.1952533721924,2495,74598,"texas","aransas",0.973529411764706
"77",-96.9100875854492,28.1666049957275,2495,74599,"texas","aransas",0.973529411764706
"78",-96.9444580078125,28.1494159698486,2495,74600,"texas","aransas",0.973529411764706
"79",-96.9444580078125,28.1837940216064,2495,74601,"texas","aransas",0.973529411764706
"80",-96.9272689819336,28.2410907745361,2495,74602,"texas","aransas",0.973529411764706
"81",-96.9215393066406,28.2697372436523,2495,74603,"texas","aransas",0.973529411764706
"82",-96.9444580078125,28.2754669189453,2495,74604,"texas","aransas",0.973529411764706
"83",-96.9902954101562,28.2525482177734,2495,74605,"texas","aransas",0.973529411764706
"84",-96.9845657348633,28.2353591918945,2495,74606,"texas","aransas",0.973529411764706
"85",-96.9731063842773,28.2181720733643,2495,74607,"texas","aransas",0.973529411764706
"86",-96.9616470336914,28.1952533721924,2495,74608,"texas","aransas",0.973529411764706
"87",-96.9731063842773,28.1723346710205,2495,74609,"texas","aransas",0.973529411764706
"88",-97.0017547607422,28.1551456451416,2495,74610,"texas","aransas",0.973529411764706
"89",-97.0361328125,28.1551456451416,2495,74611,"texas","aransas",0.973529411764706
"90",-97.041862487793,28.1723346710205,2495,74612,"texas","aransas",0.973529411764706
"91",-97.0361328125,28.2009811401367,2495,74613,"texas","aransas",0.973529411764706
"92",-97.0590515136719,28.2181720733643,2495,74614,"texas","aransas",0.973529411764706
"93",-97.0762405395508,28.2067127227783,2495,74615,"texas","aransas",0.973529411764706
"94",-97.1106185913086,28.2181720733643,2495,74616,"texas","aransas",0.973529411764706
"95",-97.127799987793,28.2353591918945,2495,74617,"texas","aransas",0.973529411764706
"96",-97.127799987793,28.2525482177734,2495,74618,"texas","aransas",0.973529411764706
"97",-97.1106185913086,28.2640075683594,2495,74619,"texas","aransas",0.973529411764706
"98",-97.0189437866211,28.2754669189453,2495,74620,"texas","aransas",0.973529411764706
"99",-96.8012161254883,28.3155746459961,2495,74621,"texas","aransas",0.973529411764706
"100",-98.4226913452148,33.455005645752,2496,74623,"texas","archer",0.991516698003402
"101",-98.4226913452148,33.3919792175293,2496,74624,"texas","archer",0.991516698003402
"102",-98.9498138427734,33.3862533569336,2496,74625,"texas","archer",0.991516698003402
"103",-98.9440841674805,33.8331565856934,2496,74626,"texas","archer",0.991516698003402
"104",-98.4169616699219,33.8388862609863,2496,74627,"texas","archer",0.991516698003402
"105",-98.4226913452148,33.455005645752,2496,74628,"texas","archer",0.991516698003402
"106",-101.61979675293,34.7498931884766,2497,74630,"texas","armstrong",0.967741935483871
"107",-101.61979675293,35.1853370666504,2497,74631,"texas","armstrong",0.967741935483871
"108",-101.081214904785,35.1796112060547,2497,74632,"texas","armstrong",0.967741935483871
